ID,Product,Status,StatusReason,Purchased,Deactivated,City,State,PostalCode,County,Country,Denomination,DenominationalGroup,TWA,OrganizationClass,StaffUsers,CongregantUsers,UsingOpenInvitationModel,UsingMissionInsite,UsingAccounting,UsingOnlineGiving,UsingBackGroundChecks,UsingPathways,UsingCheckin,UsingMobileCheckin,UsingMinistrySmart,UsingRefreshWebsites,TWA_grouped,CongregantUsers_grouped,LikesACS,State_cleaned,MissingValues,Timeline,state_county,Party,Covid
ACACKA100000,Realm Connect,Active,,2019-03-01,,Decatur,GA,30030-4148,DeKalb,US,Presbyterian - EPC,Presbyterian,50,Church,12,278,True,False,True,True,False,False,True,False,False,False,< 1479,256-1056,True,GA,0,820 <= days < 1200,GA DEKALB,DEMOCRAT,False
ACACKA1000H0,Realm Inform,Active,,2022-04-05,,Cairo,GA,39828-6201,Grady,US,Baptist - SBC,Baptist,150,Church,,,False,True,False,False,False,False,False,False,False,False,< 1479,N,True,GA,2,< 1 Yr,GA GRADY,REPUBLICAN,False
ACACKA1000I1,Realm Inform,Active,,2020-06-11,,Atlanta,GA,30318-7413,Fulton,US,Presbyterian - PCUSA,Presbyterian,,Church,6,37,False,True,True,True,False,False,False,False,True,False,N,< 256,True,GA,1,Covid Purchase,GA FULTON,DEMOCRAT,True
ACACKA1000QP,Realm Connect,Active,,2018-04-20,,Mableton,GA,30126,,US,Baptist - Missionary,Baptist,1000,Church,9,24,False,False,False,True,False,False,False,False,False,False,< 1479,< 256,True,GA,1,> 1200 days,-1,N,False
ACACKA1000QU,Realm Connect,Active,,2020-05-08,,Atlanta,GA,30314-3340,Fulton,US,Church of Christ,Church of Christ,500,Church,7,0,False,False,False,False,False,False,False,False,False,False,< 1479,< 256,True,GA,0,Covid Purchase,GA FULTON,DEMOCRAT,True
ACACKA1000RA,Realm Inform,Not Using,Couldn't afford/Rates too high,2017-08-29,2017-12-21,Atlanta,GA,30310-3042,Fulton,US,Non - Denominational,Non - Denominational,,Church,,,False,False,False,False,False,False,False,False,False,False,N,N,False,GA,3,> 1200 days,GA FULTON,DEMOCRAT,False
ACACKA1000RG,Realm Multiply,Active,,2021-10-26,,Brookhaven,GA,30329-2121,DeKalb,US,Unitarian,Other,700,Church,,,False,False,True,False,False,False,False,False,False,False,< 1479,N,True,GA,2,< 1 Yr,GA DEKALB,DEMOCRAT,False
ACACKA1000RO,Realm Multiply,Active,,2018-02-01,,Austell,GA,30168-7876,Cobb,US,Inter-Denominational,Non - Denominational,10000,Church,45,6264,True,False,False,True,False,True,False,False,False,False,7879 - 112074,>= 4229,True,GA,0,> 1200 days,GA COBB,DEMOCRAT,False
ACACKA1001E6,Realm Multiply,Active,,2022-04-19,,Tucker,GA,30084-6499,DeKalb,US,Baptist,Baptist,800,Church,1,0,False,False,True,False,False,False,False,False,False,False,< 1479,< 256,True,GA,0,< 1 Yr,GA DEKALB,DEMOCRAT,False
ACACKA1001F5,Realm Connect,Active,,2019-03-29,,Atlanta,GA,30311-3616,Fulton,US,Methodist - UMC,Methodist,1500,Church,14,909,False,True,True,True,False,False,False,False,False,False,1479 - 7878,256-1056,True,GA,0,820 <= days < 1200,GA FULTON,DEMOCRAT,False
ACACKA1001FE,Realm Inform,Active,,2019-04-29,,Atlanta,GA,30315-8601,Fulton,US,Pentecostal,Pentecostal,,Church,4,5,False,False,True,True,False,False,False,False,False,False,N,< 256,True,GA,1,820 <= days < 1200,GA FULTON,DEMOCRAT,False
ACACKA1001FF,Realm Inform,Active,,2017-06-23,,Atlanta,GA,30311-3286,Fulton,US,Episcopal,Episcopal and Anglican,120,Church,2,48,False,False,False,False,False,False,False,False,False,False,< 1479,< 256,True,GA,0,> 1200 days,GA FULTON,DEMOCRAT,False
ACACKA1001H0,Realm Connect,Active,,2022-04-07,,Lavonia,GA,30553-4619,Hart,US,Church of God,Church of God,250,Church,,,False,False,False,False,False,False,False,False,False,False,< 1479,N,True,GA,2,< 1 Yr,GA HART,REPUBLICAN,False
ACACKA1001HC,Realm Connect,Active,,2017-11-20,,Ellenwood,GA,30294-1534,DeKalb,US,Baptist - SBC,Baptist,200,Church,7,13,False,True,True,True,False,False,False,False,False,False,< 1479,< 256,True,GA,0,> 1200 days,GA DEKALB,DEMOCRAT,False
ACACKA1003NT,Realm Connect,Active,,2019-12-09,,Lithonia,GA,30058-5849,DeKalb,US,African Methodist Episcopal,AME,1000,Church,11,67,True,False,True,False,False,False,False,False,False,False,< 1479,< 256,True,GA,0,820 <= days < 1200,GA DEKALB,DEMOCRAT,False
ACACKA1003NU,Realm Connect,Active,,2022-01-18,,Carrollton,GA,30117-3197,Carroll,US,Independent Christian,Other,328,Church,,,False,False,False,False,False,False,False,False,False,False,< 1479,N,True,GA,2,< 1 Yr,GA CARROLL,REPUBLICAN,False
ACACKA20004U,Realm Inform,Active,,2019-01-18,,Commerce,GA,30529-2614,Jackson,US,Presbyterian - PCUSA,Presbyterian,167,Church,1,0,False,False,False,False,False,False,False,False,False,False,< 1479,< 256,True,GA,0,> 1200 days,GA JACKSON,REPUBLICAN,False
ACACKA2000G4,Realm Connect,Active,,2019-10-04,,Conyers,GA,30013-4930,Newton,US,Baptist - SBC,Baptist,,Church,2,6,False,False,True,True,False,False,False,False,False,False,N,< 256,True,GA,1,820 <= days < 1200,GA NEWTON,DEMOCRAT,False
ACACKA2000VR,Realm Connect,Active,,2019-01-10,,Tucker,GA,30084-4411,DeKalb,US,Jewish,Other,,Church,6,129,False,False,False,True,False,False,False,False,False,False,N,< 256,True,GA,1,> 1200 days,GA DEKALB,DEMOCRAT,False
ACACKA300008,Realm Connect,Active,,2021-06-18,,Alpharetta,GA,30004-2687,Fulton,US,Methodist - UMC,Methodist,1200,Church,,,False,True,False,False,False,False,False,False,False,False,< 1479,N,True,GA,2,< 1 Yr,GA FULTON,DEMOCRAT,False
ACACKA30000B,Realm Connect,Active,,2019-06-11,,Marietta,GA,30066-5137,Cobb,US,Methodist - UMC,Methodist,450,Church,5,20,False,True,True,True,False,False,False,False,True,False,< 1479,< 256,True,GA,0,820 <= days < 1200,GA COBB,DEMOCRAT,False
ACACKA30000H,Realm Connect,Active,,2022-02-16,,Clarkesville,GA,30523-5614,Habersham,US,Methodist - UMC,Methodist,523,Church,,,False,True,False,False,False,False,False,False,False,False,< 1479,N,True,GA,2,< 1 Yr,GA HABERSHAM,REPUBLICAN,False
ACACKA30000I,Realm Office,Active,,2021-10-18,,Rome,GA,30162-0729,Floyd,US,Baptist - SBC,Baptist,67,Denominational Office,,,False,True,True,False,False,False,False,False,False,False,< 1479,N,True,GA,2,< 1 Yr,GA FLOYD,REPUBLICAN,False
