ID,Product,Status,StatusReason,Purchased,Deactivated,City,State,PostalCode,County,Country,Denomination,DenominationalGroup,TWA,OrganizationClass,StaffUsers,CongregantUsers,HHContributors,UsingOpenInvitationModel,UsingMissionInsite,UsingAccounting,UsingOnlineGiving,UsingBackGroundChecks,UsingPathways,UsingCheckin,UsingMobileCheckin,UsingMinistrySmart,UsingRefreshWebsites
AMQJXA003PFG,Realm Connect,Active,,3/14/2018,,Dover,DE,19904-3149,Kent,US,African Methodist Episcopal,AME,200,Church,23,80,272,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMQJXA003PFO,Realm Connect,Active,,10/31/2017,,Oklahoma City,OK,73117-3635,Oklahoma,US,African Methodist Episcopal,AME,50,Church,6,33,133,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMQJXA003PHC,Realm Inform,Active,,1/31/2018,,Atascadero,CA,93422-3222,San Luis Obispo,US,Assembly of God,Assembly of God,300,Church,1,0,122,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMQJXA003PJ1,Realm Connect,Active,,8/3/2016,,Dublin,OH,43016-8311,Franklin,US,Assembly of God,Assembly of God,500,Church,50,183,386,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
AMQJXA003PKT,Realm Inform,Active,,4/22/2014,,Long Beach,CA,90813-2162,Los Angeles,US,Baptist,Baptist,200,Church,0,1,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMQJXA003PMY,Realm Inform,Active,,4/10/2014,,White Plains,NY,10601-4196,Westchester,US,Baptist,Baptist,350,Church,6,5,227,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMQJXA003PNF,Realm Connect,Active,,1/9/2019,,Buffalo,NY,14211-1423,Erie,US,Baptist,Baptist,"1,300",Church,39,223,"1,768",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
AMQJXA003PP3,Realm Connect,Active,,10/4/2018,,Pilot Point,TX,76258-6060,Denton,US,Baptist - Independent,Baptist,800,Church,32,661,743,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
AMQJXA003PQ3,Realm Connect,Active,,9/10/2018,,Los Angeles,CA,90025-4007,Los Angeles,US,Baptist - Conservative,Baptist,400,Church,33,254,318,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
AMQJXA003PUM,Realm Inform,Active,,11/21/2013,,Dallas,TX,75243-4019,Dallas,US,Baptist - SBC,Baptist,175,Church,2,0,135,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
