,Unnamed: 0,City,CongregantUsers,Country,County,DaysOwned,LikesProduct,Deactivated,Denomination,DenominationalGroup,ID,OrganizationClass,PostalCode,Product,Purchased,StaffUsers,State,Status,StatusReason,TWA,Timeline,Unnamed: 0.1.1,UsingAccounting,UsingBackGroundChecks,UsingCheckin,UsingMinistrySmart,UsingMissionInsite,UsingMobileCheckin,UsingOnlineGiving,UsingOpenInvitationModel,UsingPathways,UsingRefreshWebsites,StateCleaned
92,92,Beaverton,N,US,Washington,802,False,True,Baptist,Baptist,ACL6OA10008V,Church,97005-0699,Realm Inform,2020-03-23,,OR,Not Using,No Longer Needed,980.0,Covid Purchase,92,True,False,False,False,False,False,False,False,False,False,OR
93,93,Pe Ell,CU < 50,US,,773,True,False,Assembly of God,Assembly of God,ACL6OA106AI4,Church,98572,Realm Connect,2020-04-21,4.0,WA,Active,,150.0,Covid Purchase,93,True,False,False,False,False,False,False,False,False,False,WA
94,94,Abingdon,CU < 50,US,Washington,1136,True,False,Episcopal,Episcopal and Anglican,ACP42A3000G7,Church,24210-2808,Realm Connect,2019-04-24,9.0,VA,Active,,,820 <= days < 1200,94,True,False,False,False,False,False,True,False,False,False,VA
95,95,Virginia Beach,N,US,Virginia Beach City,144,True,False,Baptist - Independent,Baptist,ACP42A400012,Church,23464-6807,Realm Connect,2022-01-10,,VA,Active,,3500.0,< 1 Yr,95,False,False,False,False,False,False,False,False,False,False,VA
96,96,Chesapeake,CU < 50,US,Chesapeake City,876,True,False,Baptist,Baptist,ACP42A400013,Church,23323-1819,Realm Connect,2020-01-09,3.0,VA,Active,,180.0,820 <= days < 1200,96,True,False,False,False,False,False,False,False,False,False,VA
97,97,Sikeston,CU < 50,US,Scott,506,True,False,Christian Ch. Disc. of Christ,Other,ACRJVA20008J,Church,63801-5044,Realm Connect,2021-01-13,4.0,MO,Active,,500.0,365 <= days < 650,97,True,False,False,False,True,False,True,False,False,False,MO
98,98,West Memphis,CU < 50,US,Crittenden,1754,True,False,Baptist - SBC,Baptist,ACRJVA2000E6,Church,72303-1835,Realm Connect,2017-08-14,10.0,AR,Active,,1800.0,> 1200 days,98,True,False,True,False,False,False,True,False,True,False,AR
99,99,Chapel Hill,N,US,Orange,113,True,False,Episcopal,Episcopal and Anglican,ACSS0A20005Y,Church,27516-9231,Realm Connect,2022-02-10,,NC,Active,,302.0,< 1 Yr,99,False,False,False,False,False,False,False,False,False,False,NC
100,100,Chesapeake,200 <= CU,US,Chesapeake City,1186,True,False,Baptist - SBC,Baptist,ACSS0A2000EI,Church,23320-3903,Realm Connect,2019-03-05,37.0,VA,Active,,1800.0,820 <= days < 1200,100,True,False,False,False,False,False,True,True,False,False,VA
101,101,Memphis,50 <= CU < 200,US,Shelby,1656,True,False,Assembly of God,Assembly of God,ACVMZA1000H5,Church,38018,Realm Multiply,2017-11-20,24.0,TN,Active,,2500.0,> 1200 days,101,True,False,True,False,False,False,False,False,False,False,TN
102,102,Waynesboro,CU < 50,US,Wayne,1773,True,False,Baptist - SBC,Baptist,ACVMZA1000KM,Church,39367-2793,Realm Connect,2017-07-26,1.0,MS,Active,,600.0,> 1200 days,102,False,False,False,False,False,False,False,False,False,False,MS
103,103,Daleville,CU < 50,US,Dale,904,True,False,Baptist,Baptist,ACVMZA1000NR,Church,36322-2105,Realm Connect,2019-12-12,2.0,AL,Active,,,820 <= days < 1200,103,True,False,False,False,False,False,False,False,False,False,AL
104,104,Ocean Springs,N,US,Jackson,1332,False,True,Baptist,Baptist,ACVMZA1000NS,Church,39564-3930,Realm Connect,2018-10-10,,MS,Not Using,No Longer Needed,,> 1200 days,104,False,False,False,False,False,False,False,False,False,False,MS
